set,lvl,start,end,diff,ptcp,accuracy,Stimulus
1,0,3575,4066,3.69172932330827,1,0,3
1,1,5983,6460,3.58646616541353,1,0,3
1,2,9971,10420,3.37593984962406,1,0,3
1,3,12405,12976,4.29323308270677,1,0,2
1,4,15409,16008,4.50375939849624,1,0,1
1,5,18291,18750,3.45112781954887,1,0,1
1,6,20819,21300,3.61654135338346,1,0,3
1,7,23661,24106,3.34586466165414,1,0,3
1,8,26116,26540,3.18796992481203,1,0,2
1,9,28341,29623,9.6390977443609,1,0,1
1,10,NaN,35205,NaN,1,0,2
1,11,37501,37968,3.51127819548872,1,0,2
1,12,40430,40927,3.73684210526316,1,0,3
1,13,43359,43811,3.3984962406015,1,0,3
1,14,45878,46302,3.18796992481203,1,0,2
1,15,48080,48520,3.30827067669173,1,0,1
1,16,50899,51336,3.28571428571429,1,1,1
1,17,NaN,53925,NaN,1,0,1
1,18,58403,58859,3.42857142857143,1,0,1
1,19,61724,62155,3.2406015037594,1,0,2
1,20,64366,64805,3.30075187969925,1,0,3
1,21,66675,67106,3.2406015037594,1,0,3
1,22,69897,70343,3.35338345864662,1,0,1
1,23,72445,72882,3.28571428571429,1,0,1
1,24,82204,82712,3.81954887218045,1,0,2
1,25,84576,85033,3.43609022556391,1,0,2
1,26,87238,87708,3.53383458646617,1,1,2
1,27,NaN,91866,NaN,1,0,1
1,28,94226,94662,3.2781954887218,1,0,1
1,29,96364,96808,3.33834586466165,1,0,3
1,30,98503,98990,3.66165413533835,1,0,2
1,31,100713,101156,3.33082706766917,1,0,3
1,32,102893,103359,3.50375939849624,1,1,3
1,33,NaN,105785,NaN,1,0,2
1,34,108097,108541,3.33834586466165,1,1,2
2,0,117566,117995,3.22556390977444,1,0,0
2,1,121280,121729,3.37593984962406,1,1,2
2,2,NaN,123849,NaN,1,0,1
2,3,126178,126609,3.2406015037594,1,0,1
2,4,128375,128816,3.31578947368421,1,0,3
2,5,130828,131263,3.27067669172932,1,0,1
2,6,133132,133561,3.22556390977444,1,0,3
2,7,135372,135806,3.26315789473684,1,0,2
2,8,137464,137890,3.20300751879699,1,0,2
2,9,140893,141327,3.26315789473684,1,0,3
2,10,143113,143544,3.2406015037594,1,0,3
2,11,145369,145806,3.28571428571429,1,0,2
2,12,147590,148024,3.26315789473684,1,0,3
2,13,150787,151214,3.21052631578947,1,0,1
2,14,153115,153550,3.27067669172932,1,0,1
2,15,156017,156450,3.25563909774436,1,0,3
2,16,158639,159073,3.26315789473684,1,0,2
2,17,161268,161698,3.23308270676692,1,0,2
2,18,163504,163941,3.28571428571429,1,0,1
2,19,165717,166151,3.26315789473684,1,0,2
2,20,168160,168589,3.22556390977444,1,0,1
2,21,171004,171467,3.4812030075188,1,1,1
2,22,NaN,175360,NaN,1,0,2
2,23,177591,178019,3.21804511278195,1,0,3
2,24,180576,181002,3.20300751879699,1,0,1
2,25,182777,183210,3.25563909774436,1,0,2
2,26,185078,185517,3.30075187969925,1,0,1
2,27,188200,188631,3.2406015037594,1,0,3
2,28,190747,191191,3.33834586466165,1,0,3
2,29,193601,194030,3.22556390977444,1,0,2
2,30,196128,196560,3.24812030075188,1,0,2
2,31,198614,199044,3.23308270676692,1,0,3
2,32,201861,202294,3.25563909774436,1,0,3
2,33,204403,204838,3.27067669172932,1,0,1
2,34,206794,207231,3.28571428571429,1,0,3
3,0,211640,212083,3.33082706766917,1,0,1
3,1,213708,214154,3.35338345864662,1,0,0
3,2,216757,217197,3.30827067669173,1,0,2
3,3,219004,219437,3.25563909774436,1,0,3
3,4,NaN,221905,NaN,1,0,1
3,5,223663,224113,3.38345864661654,1,0,3
3,6,226248,226680,3.24812030075188,1,0,3
3,7,228844,229274,3.23308270676692,1,0,1
3,8,231863,232301,3.29323308270677,1,0,3
3,9,233969,234396,3.21052631578947,1,0,3
3,10,NaN,237286,NaN,1,0,1
3,11,239766,240214,3.36842105263158,1,0,1
3,12,242636,243063,3.21052631578947,1,0,2
3,13,244778,245215,3.28571428571429,1,0,2
3,14,248309,248738,3.22556390977444,1,0,3
3,15,NaN,254199,NaN,1,0,2
3,16,256268,256699,3.2406015037594,1,0,1
3,17,258475,258911,3.2781954887218,1,0,3
3,18,260855,261288,3.25563909774436,1,0,3
3,19,263777,264201,3.18796992481203,1,0,2
3,20,266172,266618,3.35338345864662,1,0,3
3,21,268367,268807,3.30827067669173,1,0,1
3,22,270601,271035,3.26315789473684,1,0,1
3,23,273032,273463,3.2406015037594,1,0,2
3,24,275462,275909,3.3609022556391,1,0,2
3,25,278125,278562,3.28571428571429,1,0,3
3,26,280740,281169,3.22556390977444,1,0,1
3,27,283687,284122,3.27067669172932,1,0,3
3,28,286330,286762,3.24812030075188,1,0,2
3,29,288811,289245,3.26315789473684,1,0,2
3,30,291012,291442,3.23308270676692,1,0,1
3,31,293057,293488,3.2406015037594,1,0,2
3,32,295267,295706,3.30075187969925,1,0,1
3,33,297373,297810,3.28571428571429,1,0,2
3,34,300058,300498,3.30827067669173,1,0,1
0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,1
